Key;Type;Desc;English;Vietnamese [vi]
Item/Cooked_Tilapia;Text;;Cooked tilapia@Fish is part of any healthy diet.;Cá rô phi đã chín@Cá là một phần của bất kỳ chế độ ăn ăn kiêng đó.
Item/CopperIngot;Text;;Copper Ingot@Commonly used for electrical components.;Thỏi đồng@Thường được sử dụng để chế tạo đồ điện.
Item/CopperOre;Text;;Copper@Can be smelted into copper ingot.;Quặng Đồng@Có thể nung chảy thành thỏi đồng.
Item/Crate;Text;;Crate;Thùng đồ
Item/DevSpear;Text;;OP weapon@Cuts sushi like a boss.;Vũ khí tối thượng@Đấm phát chết luôn.
Item/Dirt;Text;;Dirt@Looks dirty.;Đất@Dơ dơ bẩn bẩn.
Item/DrinkingGlass;Text;;Drinking glass@Perfect for juice!;Cốc thuỷ tinh@Dùng để đựng sinh tố.
Item/DrumstickWithJam;Text;;Drumstick with jam@... who came up with this recipe?;Thịt gà sốt quả mọng@... Ai nghĩ ra cái công thức này vậy?
Item/Egg;Text;;Egg@Generally used for cooking.;Trứng@Dùng trong nấu nướng.
Item/ExplosiveGoo;Text;;Explosive goo@Can be dried in a smelter.;Độc cá nóc@Có thể nung chảy thành thuốc súng.
Item/ExplosivePowder;Text;;Explosive powder@Handle with care.;Thuốc súng@Cẩn thận với thứ này nhé.
Item/Feather;Text;;Feather@It's from a bird.;Lông chim@Từ 1 con trym!
Item/FishStew;Text;;Fish stew@A sturdier and tastier fish stew.;Cá hầm@Đậm đà và ngon tuyệt cú mèo.
Item/FishingBait_Advanced;Text;;Advanced fishing bait@Has a peculiar look! Used by advanced anglers.;Mồi câu xịn@Loại mồi đặc biệt. Chỉ có những tay câu cừ khôi có nó.
Item/FishingBait_Expert;Text;;Expert fishing bait@Glorius sheen! Used by expert anglers.;Mồi câu chuyên dụng@Xịn xò như con bò! Được khuyên dùng bởi các chuyên gia câu cá hàng đầu thế giới.
Item/FishingBait_Simple;Text;;Simple fishing bait@Simple and efficient! Used by novice anglers.;Mồi câu cá@Đơn giản nhưng hiệu quả. Người người dùng, nhà nhà dùng.
Item/FishingRod;Text;;Fishing rod@Get some fish!;Cần câu@Câu vài con cá nào.
Item/FishingRod_Metal;Text;;Metal fishing rod@Sturdier and a bit more professional.;Cần câu sắt@Chắc chắn và nhìn chuyên nghiệp hơn một chút.
Item/Flipper;Text;;Flippers@Increases your speed underwater.;Chân vịt@Tăng tốc độ bơi dưới nước.
Item/Flower_Black;Text;;Black flower@Can be made into paint.;Hoa đen@Dùng để làm sơn.
Item/Flower_Blue;Text;;Blue flower@Can be made into paint.;Hoa xanh@Dùng để làm sơn.
Item/Flower_Red;Text;;Red flower@Can be made into paint.;Hoa đỏ@Dùng để làm sơn.
Item/Flower_White;Text;;White flower@Can be made into paint.;Hoa trắng@Dùng để làm sơn.
Item/Flower_Yellow;Text;;Yellow flower@Can be made into paint.;Hoa vàng@Dùng để làm sơn.
Item/Foamspitter;Text;;Foamspitter@Tier 2. Time for bubbles.;Cá mỏ nhọn@Cấp 2. Mấy con này nó tạo ra bong bóng.
Item/FruitCompot;Text;;Fruit compot@Tastes extra good when you are tired of chewing meat.;Dĩa hoa quả@Hương vị cực ngon khi bạn đã chán nhai thịt.
Item/GiantClam;Text;;Giant clam@A big clam.;Ngao khổng lồ@Một con ngao cực bự.
Item/Glass;Text;;Glass@It's transparent.;Thuỷ tinh@Nó trong suốt.
Item/GlowShrimp;Text;;GlowShrimp@Tier 1. Glows less than you might think.;Tôm phát quang@Cấp 1. Nó phát sáng không nhiều như bạn nghĩ.
Item/Hammer;Text;;Building Hammer@Useful for expanding your raft.;Búa Xây Dựng@Hữu dụng trong việc xây dựng.
Item/Hat_Captain;Text;;Captain's hat@Once belonged to a great captain.;Mũ thuyền trưởng@Đã từng thuộc về Jack Sparrow?
Item/Hat_Chef;Text;;Chef's hat@If you prefer cooking to sailing.;Mũ bếp trưởng@Nếu bạn thích nấu ăn hơn chèo thuyền.
Item/Hat_Construction;Text;;Construction helmet@Left behind by a construction worker.;Mũ bảo hiểm lao động@Bị một công nhân xây dựng bỏ lại.
Item/Hat_Dev;Text;;Developer hat@;Mũ của nhà phát triển@
Item/Hat_Diving;Text;;Diving helmet@Somewhat airtight.;Mũ thợ lặn@Hơi kín gió 1 tý.
Item/Hat_Fishing;Text;;Fishing hat@Lures for any occasion.;Mũ nghỉ mát@Dành cho bất kì dịp nào.
Item/Hat_Glasses_Aviator;Text;;Sunglasses@For those sunny days.;Kính râm@Cho mấy ngày nắng.
Item/Hat_Glasses_Disguise;Text;;Disguise glasses@It might fool your friends, but it can't fool the shark.;Kính ngụy trang@Nó có thể đánh lừa lũ bạn, nhưng với con cá mập thì không đâu.
Item/Hat_Mayor;Text;;Mayor hat@Belonged to the mayor of Caravan Town.;Mũ thị trưởng@Thuộc sở hữu của thị trưởng Caravan Town.
Item/Hat_Pilot;Text;;Pilot helmet@An old but fancy pilot helmet.;Mũ phi công@Một chiếc mũ bảo hiểm phi công cũ nhưng cũng lạ mắt.
Item/Hat_Pirate;Text;;Pirate hat@Ahoy, set sail!;Mũ hải tặc@Aha, lên buồm, ra khơi nào!
Item/Hat_Sailor;Text;;Sailor hat@A true hat for a true sailor.;Mũ thuỷ thủ@Một chiếc mũ đúng nghĩa dành cho một thủy thủ thực thụ.
Item/Hat_Tiki;Text;;Tiki mask@Mysterious wooden mask.;Mặt nạ Tiki@Mặt nạ gỗ bí ẩn.
Item/HeadBroth;Text;;Head broth@A tad scary but nutritious broth.;Súp đầu cá nóc@Nhìn hơi gớm, nhưng bổ dưỡng lắm.
Item/HeadLight;Text;;Head light@Useful when exploring dark places.;Đèn đeo đầu@Rất hữu ích trong việc soi sáng.
Item/HeadLight_Advanced;Text;;Advanced head light@Reliable and excellent battery lifetime.;Đèn đeo đầu xịn@Pin trâu và sống lâu hơn cái thường.
Item/HealingSalve;Text;;Healing salve@Soothes and restores your wounds.;Thuốc mỡ@Làm dịu và phục hồi vết thương của bạn.
Item/HealingSalve_Good;Text;;Good healing salve@Soothes and restores your wounds.;Thuốc mỡ xịn@Làm dịu và phục hồi vết thương của bạn.
Item/HeartyStew;Text;;Hearty stew@A mysterious stew that lets you evade death, once.;Thịt hầm rau củ@Một món hầm bí ẩn giúp bạn thoát khỏi cái chết, nhưng chỉ có tác dụng một lần.
Item/Hinge;Text;;Hinge@It's two metal plates... That bend.;Bản lề@Đó là hai tấm kim loại... và có chỗ bị uốn cong.
Item/Honey;Text;;Honey@Tastes yummy and can be used to create biofuel.;Mật ong@Hương vị thơm ngon và có thể được sử dụng để tạo ra nhiên liệu sinh học.
Item/HoneyComb;Text;;Honeycomb@Can be used to create honey jars.;Tổ ong@Có thể dùng để tạo hũ mật ong.
Item/Hook_Plastic;Text;;Plastic hook@Use this amazing item to catch debris floating by in the ocean!;Móc nhựa@Dùng để bắt các mảnh vụn trôi nổi trên biển!
Item/Hook_Scrap;Text;;Scrap hook@This is basically the same as the plastic hook but better. It's faster, more durable and can be thrown farther.;Móc sắt@Tương tự như cái móc nhựa nhưng tốt hơn tý. Nhanh hơn, bền hơn và có thể ném xa hơn.
Item/Hook_Titanium;Text;;Titanium hook@The ultimate hook for any rafter.;Móc titan@Chiếc móc tối thượng ai cũng muốn có.
Item/HyenaBossHead;Text;;Alpha's head@It was tough, but you beat it!;Đầu Linh cẩu đầu đàn@Rất khó để đánh bại nó, nhưng bạn đã làm được!
Item/HyenaHead;Text;;Hyena head@Looks good on a trophy board.;Đầu linh cẩu@Đẹp hơn khi treo trên tường.
Item/Item;Text;;Item;Vật phẩm
Item/Juniper;Text;;Juniper@A life changing berry.;Quả đỗ tùng@To tròn mọng nước.
Item/Leather;Text;;Leather@Tanned hide.;Da thú@Có màu nâu nâu nhỉ.
Item/LeatherChest;Text;;Leather body armor@Protects your upper body.;Áo giáp da@Bảo vệ cho bạn.
Item/LeatherHelmet;Text;;Leather helmet@Protects your precious brain.;Mũ bảo hộ da@Bảo vệ cho cái đầu.
Item/LeatherLegs;Text;;Leather greaves@Reduces wood splinters.;Ủng da@Bảo vệ đôi bàn chân.
Item/Leftover;Text;;Leftovers@This meal did not turn out very well.;Đồ ăn thừa@Trông không được ngon cho lắm.
Item/LionFish;Text;;LionFish@Tier 3. Toxic and pointy.;Cá sư tử@Cấp 3. Độc và nhọn.
Item/Lunarfish;Text;;Lunarfish@Tier 3. Reminiscent of the moon.;Cá mặt trăng@Cấp 3. Gợi nhớ về mặt trăng.
Item/Machete;Text;;Machete@Sharp enough to cut through vegetation.;Mã tấu@Đủ sắc để chém đứt nhiều thứ.
Item/MamaBearHead;Text;;Mama bear head@She was tough but not immortal!;Đầu gấu mẹ@Nó cũng khoẻ đấy, nhưng đâu có bất tử!
Item/Mango;Text;;Mango@Quenches thirst and soothes hunger.;Xoài@Xoa dịu cơn đói, khát.
Item/Mangonana;Text;;Mangonana@Mango or banan? Take both!;Sinh tố xoài chuối@Xoài hay Chuối? Thôi lấy cả hai!
Item/MetalDetector;Text;;Metal detector@Helpful for finding precious metal. Bring a shovel!;Máy dò kim loại@Hữu ích cho việc tìm kiếm kim loại quý. Nhớ mang theo xẻng!
Item/MetalIngot;Text;;Metal ingot@It's shiny.;Thỏi sắt@Sáng bóng loáng.
Item/MetalOre;Text;;Metal ore@Could be smelted into something better.;Quặng kim loại@Có thể đem nung chảy.
Item/MushroomOmelette;Text;;Mushroom omelette@A favorite of the breakfast community.;Trứng tráng nấm@Món yêu thích cho bữa sáng.
Item/Nail;Text;;Nail@Good for putting things together.;Đinh@Để giữ mọi thứ lại với nhau.
Item/Nametag;Text;;Nametag@In memory of...;Thẻ tên@Để gợi nhớ về...
Item/NetCanister;Text;;Net canister@Used together with the net launcher.;Đạn lưới@Dùng với súng bắn lưới.
Item/NetGun;Text;;Net launcher@Aim at an animal to catch it.;Súng bắn lưới@Ngắm, bắn, và bắt mấy con thú trên đảo.
Item/NetNibbler;Text;;Netnibbler@Tier 1. Better here than on one of the nets.;Cá tráp@Cấp 1. Nói thật tui cũng chả biết con này là cá gì đâu...
Item/Note;Text;;Note@;Ghi chú@
Item/OxygenBubble;Text;;Oxygen bubble@A breath of fresh air.;Bong bóng Ôxy@Là bong bong ở dưới nước.
Item/Package;Text;;Decoration package@It's the inside that matters.;Hộp quà trang trí@Quan trọng là thứ ở trong kìa.
Item/Paddle;Text;;Paddle@Has your raft gotten stuck? This will help!;Mái chèo@Bè bị kẹt à? Thứ này sẽ có ích đấy.
Item/PaintBrush;Text;;Paint brush@Turn your raft into a colorful home!;Cọ sơn@Lên màu cho mọi thứ nào.
Item/Pebbles;Text;;Pebble@A smaller stone, perfectly shaped for throwing.;Pebble@Một viên đá nhỏ, có hình dạng hoàn hảo để ném lướt trên mặt nước.
Item/Pentapus;Text;;Pentapus@Tier 3. Two of these, and you have a Tentapus.;Bạch tuộc@Cấp 3. Một hai ba cái xúc tu, nó là con bạch tuộc.
Item/Pineapple;Text;;Pineapple@Quenches thirst and soothes hunger.;Dứa@Xoa dịu cơn đói khát
Item/PinkPike;Text;;Pink Pike@Tier 3. Whoa, pink!;Lươn hồng@Cấp 3. Whoa, nó màu hồng!
Item/Plank;Text;;Plank@A simple plank.;Ván gỗ@Một tấm ván gỗ.
Item/Plastic;Text;;Plastic@Yep. It's plastic.;Nhựa@Yep. nó là nhựa.
Item/PlasticBottle_Empty;Text;;Empty bottle@Can be filled with lots of water.;Chai rỗng@Có thể đựng được nước.
Item/PlasticBottle_SaltWater;Text;;Bottle of salt water@Drinking saltwater is not very good. Can be turned into fresh water.;Chai nước biển@Uống nước biển thì không tốt lắm. Có thể chế thành nước ngọt.
Item/PlasticBottle_Water;Text;;Bottle of fresh water@Fresh water is very important on the ocean.;Chai nước ngọt@Nước ngọt rất quan trọng khi ở giữa đại dương.
Item/PlasticCup_Empty;Text;;Empty cup@Can be filled with some water.;Cốc rỗng@Có thể đựng một ít nước.
Item/PlasticCup_SaltWater;Text;;Cup of salt water@Drinking saltwater is not very good. Can be turned into fresh water.;Cốc nước biển@Uống nước biển thì không tốt lắm. Có thể chế thành nước ngọt.
Item/PlasticCup_Water;Text;;Cup of fresh water@Fresh water is very important on the ocean.;Cốc nước ngọt@Nước ngọt rất quan trọng khi ở giữa đại dương.
Item/PoisonPuffer;Text;;Poison-puffer;Cá nóc
Item/PoisonPufferHead;Text;;Poison-puffer head@Just a Poison-puffer head.;Đầu cá nóc@Chỉ là cái đầu con cá nóc.
Item/PolarBearHead;Text;;Polar bear head@Looks good on a trophy board.;Đầu gấu bắc cực@Đẹp hơn khi gắn trên tường.
Item/Pufferlisk;Text;;"Pufferlisk@Tier 2. Reminiscent of another seacreature. ";Cá nóc đột biến@Cấp 2. Gợi nhớ về một sinh vật biển khác.
Item/RainbowLobster;Text;;Rainbow Lobster@Tier 3. Magnificent colors!;Tôm hùm cầu vồng@Cấp 3. Màu sắc tuyệt vời!
Item/Raw_Beet;Text;;Raw beet@Can be cooked or planted for more beets. Fits in a small crop plot.;Củ cải@Có thể nấu hoặc trồng để có thêm củ cải. Phù hợp trong một lô đất nhỏ.
Item/Raw_Catfish;Text;;Raw catfish@One would need a big fire to cook this thing...;Cá trê@Sẽ cần một ngọn lửa lớn để nấu thứ này ...
Item/Raw_Drumstick;Text;;Raw drumstick@Apparently these are found on birds.;Đùi gà@Rõ ràng những thứ này được tìm thấy trên các loài chim hay gà.
Item/Raw_GenericMeat;Text;;Raw meat@Meat tastes better when cooked.;Thịt@Meat tastes better when cooked.
Item/Raw_Herring;Text;;Raw herring@Could be bigger.;Cá trích@Còn có con bự hơn á.
Item/Raw_Mackerel;Text;;Raw mackerel@Fresh from the ocean.;Cá thu@Tươi rói từ biển.
Item/Raw_Pomfret;Text;;Raw pomfret@Why so small?;Cá chim@Sao nó lại bé như thế này?
Item/Raw_Potato;Text;;Raw potato@Can be cooked or planted for more potatoes. Fits in a small crop plot.;Khoai tây@Có thể nấu hoặc trồng để có thêm củ cải. Phù hợp trong một lô đất nhỏ.
Item/Raw_Salmon;Text;;Raw salmon@One would need a big fire to cook this thing...;Cá hồi@Sẽ cần một ngọn lửa lớn để nấu thứ này ...
Item/Raw_Shark;Text;;Raw sharkmeat@It sort of looks like a boomerang.;Thịt cá mập@Nó trông giống như một chiếc boomerang.
Item/Raw_Tilapia;Text;;Raw tilapia@This thing is funny looking.;Cá rô phi@Con này nhìn hài thế.
Item/Recipe_BBQ;Text;;Recipe: BBQ@A recipe that can be cooked in a pot;Công thức: BBQ@Có thể nấu bằng nồi lẩu.
Item/Recipe_CatfishDeluxe;Text;;Recipe: Catfish deluxe@A recipe that can be cooked in a pot. Makes you run faster.;Công thức: Súp cá trê@Có thể nấu bằng nồi lẩu.. Tăng tốc cho bạn 1 xíu.
Item/Recipe_CoconutBeat;Text;;Recipe: Coconut beat@A recipe that can be made in a juicer.;Công thức: Sinh tố dừa@Có thể xay bằng máy xay sinh tố.
Item/Recipe_CoconutChicken;Text;;Recipe: Coconut chicken@A recipe that can be cooked in a pot.;Công thức: Súp gà cốt dừa@Có thể nấu bằng nồi lẩu..
Item/Recipe_DrumstickWithJam;Text;;Recipe: Drumstick with jam@A recipe that can be cooked in a pot.;Công thức: Đùi gà sốt mứt@Có thể nấu bằng nồi lẩu..
Item/Recipe_FishStew;Text;;Recipe: Fish stew@A recipe that can be cooked in a pot.;Công thức: Cá hầm@Có thể nấu bằng nồi lẩu..
Item/Recipe_FruitCompot;Text;;Recipe: Fruit compot@A recipe that can be cooked in a pot.;Công thức: Dĩa hoa quả@Có thể nấu bằng nồi lẩu..
Item/Recipe_HeadBroth;Text;;Recipe: Head broth@A recipe that can be cooked in a pot.;Công thức: Súp đầu cá nóc@Có thể nấu bằng nồi lẩu..
Item/Recipe_HeartyStew;Text;;Recipe: Hearty stew@A recipe that can be cooked in a pot. A mysterious stew that lets you evade death, once.;Công thức: Thịt hầm rau củ@Có thể nấu bằng nồi lẩu.. Một món hầm bí ẩn giúp bạn thoát khỏi cái chết, xài một lần.
Item/Recipe_Mangonana;Text;;Recipe: Mangonana@A recipe that can be made in a juicer.;Công thức: Sinh tố xoài@Có thể xay bằng máy xay sinh tố.
Item/Recipe_MushroomOmelette;Text;;Recipe: Mushroom omelette@A recipe that can be cooked in a pot.;Công thức: Trứng tráng nấm@Có thể nấu bằng nồi lẩu..
Item/Recipe_RedMelon;Text;;Recipe: Red melon@A recipe that can be made in a juicer.;Công thức: Sinh tố 3D@Có thể xay bằng máy xay sinh tố.
Item/Recipe_RedbeetShot;Text;;Recipe: Redbeet shot@A recipe that can be made in a juicer. Adds some extra hearts to your life.;Công thức: Sinh tố Củ Cải@Có thể xay bằng máy xay sinh tố. Thêm một ít máu cho bạn.
Item/Recipe_SalmonSalad;Text;;Recipe: Salmon salad@A recipe that can be cooked in a pot. A healthy salad that increases your lung capacity.;Công thức: Salad Cá hồi@Có thể nấu bằng nồi lẩu.. Một món salad ngon lành giúp tăng dung tích phổi của bạn.
Item/Recipe_SharkDinner;Text;;Recipe: Shark dinner@A recipe that can be cooked in a pot.;Công thức: Cá mập hầm nấm@Có thể nấu bằng nồi lẩu..
Item/Recipe_SilverSmoothie;Text;;Recipe: Silver smoothie@A recipe that can be made in a juicer.;Công thức: Sinh tố Xoài-Chuối@Có thể xay bằng máy xay sinh tố.
Item/Recipe_SimpleFishStew;Text;;Recipe: Simple fish stew@A recipe that can be cooked in a pot.;Công thức: Cá hầm rau củ@Có thể nấu bằng nồi lẩu..
Item/Recipe_SimpleSmoothie;Text;;Recipe: Simple smoothie@A recipe that can be made in a juicer.;Công thức: Sinh tố Xoài-Dứa-Dừa@Có thể xay bằng máy xay sinh tố.
Item/Recipe_SpicyPineberry;Text;;Recipe: Spicy pineberry@A recipe that can be made in a juicer. Makes you swim faster.;Công thức: Dứa-Dâu cay xè@Có thể xay bằng máy xay sinh tố. Khiến bạn bơi nhanh hơn đó.
Item/Recipe_SteakWithJam;Text;;Recipe: Steak with jam@A recipe that can be cooked in a pot;Công thức: Bít tết phết mứt@Có thể nấu bằng nồi lẩu.
Item/Recipe_StrawberryColada;Text;;Recipe: Strawberry colada@A recipe that can be made in a juicer.;Công thức: Sinh tố Dâu@Có thể xay bằng máy xay sinh tố.
Item/Recipe_Sushi;Text;;Recipe: Sushi@A recipe that can be cooked in a pot;Công thức: Sushi@Có thể nấu bằng nồi lẩu.
Item/Recipe_VegetableSoup;Text;;Recipe: Vegetable soup@A recipe that can be cooked in a pot.;Công thức: Súp rau củ@Có thể nấu bằng nồi lẩu..
Item/RedMelon;Text;;Red melon@A refreshing drink for a hot summer day.;Sinh tố 3D@Một thức uống giải nhiệt cho ngày hè nóng bức.
Item/RedbeetShot;Text;;Redbeet shot@Adds some extra hearts to your life.;Sinh tố Củ cải nước dừa@Bổ thận tráng dương, tăng cường sinh lý.
Item/RhinoSharkTrophy;Text;;Rhino shark trophy@Too big to fit on a trophy board.;Cá mập đầu tê giác@Quá to để treo lên tường.
Item/Rope;Text;;Rope@Could be used to tie a knot. Made from palm leaves.;Dây thừng@Có thể dùng để thắt nút. Làm từ lá cọ.
Item/SalmonSalad;Text;;Salmon salad@A healthy sallad that increases your lung capacity.;Salad Cá Hồi@ Một món salad ngon lành giúp tăng dung tích phổi của bạn.
Item/Sand;Text;;Sand@Apparently turns into glass when smelted.;Cát@Nung chảy để làm thành thuỷ tinh.
Item/Scrap;Text;;Scrap@Some old parts from... something?;Phế liệu@Một số bộ phận cũ từ... một cái gì đó?
Item/Screecher;Text;;Screecher;Đĩ chim đầu đỏ
Item/ScreecherHead;Text;;Screecher head@To remember it by.;Đầu chim đầu đỏ@Để ghi nhớ nó đã từng gắp đá ném sml chúng ta.
Item/ScreecherHead_Caravan;Text;;White screecher head@A subspecies of Screechers.;Đầu chim đầu trắng@Để ghi nhớ nó đã từng gắp đá ném sml chúng ta.
Item/SeaVine;Text;;Seaweed@Can be put into a smelter to turn into goo.;Rong biển@Có thể nung chảy thành nguyên vật liệu chế tạo.
Item/Seagull;Text;;Seagull;Mòng biển
Item/Seed_Banana;Text;;Banana seed@Add water to get a banana plant. Fits in a large crop plot.;Hạt giống Chuối@Chăm tưới để cây mau lớn. Trồng trong khay đất lớn.
Item/Seed_Birch;Text;;Birch seed@Add water to get a birch tree. Fits in a large crop plot.;Hạt giống Bạch Dương@Chăm tưới để cây mau lớn. Trồng trong khay đất lớn.
Item/Seed_Black;Text;;Black seed@Add water to get a flower. Fits in a small crop plot.;Hạt giống hoa đen@Chăm tưới để hoa mau lớn. Trồng trong khay đất nhỏ.
Item/Seed_Blue;Text;;Blue seed@Add water to get a flower. Fits in a small crop plot.;Hạt giống hoa xanh@Chăm tưới để hoa mau lớn. Trồng trong khay đất nhỏ.
Item/Seed_Mango;Text;;Mango seed@Add water to get a mango tree. Fits in a large crop plot.;Hạt giống xoài@Chăm tưới để cây mau lớn. Trồng trong khay đất lớn.
Item/Seed_Palm;Text;;Palm seed@Add water to get a palm tree. Fits in a large crop plot.;Hạt giống dừa@Chăm tưới để cây mau lớn. Trồng trong khay đất lớn.
Item/Seed_Pine;Text;;Pinecone@Add water to get a pinetree. Fits in a large crop plot.;Quả Thông@Chăm tưới để cây mau lớn. Trồng trong khay đất lớn.
Item/Seed_Pineapple;Text;;Pineapple seed@Add water to get a pineapple. Fits in a medium crop plot.;Hạt giống dứa@Chăm tưới để cây mau lớn. Trồng trong khay đất vừa.
Item/Seed_Red;Text;;Red seed@Add water to get a flower. Fits in a small crop plot.;Hạt giống hoa đỏ@Chăm tưới để hoa mau lớn. Trồng trong khay đất nhỏ.
Item/Seed_Strawberry;Text;;Strawberry seed@Add water to get a strawberry. Fits in a small crop plot.;Hạt giống Dâu tây@Chăm tưới để cây mau lớn. Trồng trong khay đất nhỏ.
Item/Seed_Watermelon;Text;;Watermelon seed@Add water to get a watermelon. Fits in a medium crop plot.;Hạt giống dưa hấu@Chăm tưới để cây mau lớn. Trồng trong khay đất vừa.
Item/Seed_White;Text;;White seed@Add water to get a flower. Fits in a small crop plot.;Hạt giống hoa trắng@Chăm tưới để hoa mau lớn. Trồng trong khay đất nhỏ.
Item/Seed_Yellow;Text;;Yellow seed@Add water to get a flower. Fits in a small crop plot.;Hạt giống hoa vàng@Chăm tưới để hoa mau lớn. Trồng trong khay đất nhỏ.
Item/SharkBait;Text;;Shark bait@Keep the shark busy!;Mồi dụ cá mập@Giữ cho đĩ cá mập không tấn công bạn.
Item/SharkDinner;Text;;Shark dinner@Enough food to feed three people. Can you eat it by yourself?;Cá mập hầm nấm@Đủ cho 3 người ăn. Mình bạn ăn hết được không?
Item/SharkEater;Text;;Sharkeater@Tier 3. Well, Bruce does not seem to mind.;Cá mập ăn thịt@Cấp 3. Là con cá ăn thịt con cá mập?
Item/SharkHead;Text;;Shark head@Where did the rest of the shark go?;Đầu cá mập@Phần còn lại của nó đâu nhỉ?
Item/SharpCarp;Text;;Sharp Carp@Tier 1. Pointy!;Cá chép đầu nhọn@Cấp 1. Đầu nhọn hoắt!
Item/Shear;Text;;Shears@Cuts wool extremely well.;Kéo@Cắt lông cực xịn
Item/Shovel;Text;;Shovel@Useful to obtain dirt.;Xẻng@Dùng trong đào bới.
Item/Shovel_Titanium;Text;;Titanium shovel@Sturdier than a normal showel.;Xẻng Titan@Chắc chắn là xịn hơn cái xẻng thường.
Item/Sign;Text;;Sign@You can write whatever you wish on this.;Bảng tên@Bạn có thể ghi cái gì lên cũng được.
Item/SilverAlgae;Text;;Silver algae@Has a quite bitter taste.;Tảo bạc@Có vị khá đắng.
Item/SilverSmoothie;Text;;Silver smoothie@A healthy drink.;Sinh tố Xoài-Chuối@Món món sinh tố bổ dưỡng.
Item/SimpleFishStew;Text;;Simple fish stew@Smells fishy but tastes OK.;Cá hầm rau củ@Hơi mùi nhưng vị lại ngon.
Item/SimpleSmoothie;Text;;Simple smoothie@A standard smoothie, but delicious.;Sinh tố Xoài-Dứa-Dừa@Một món đơn giản, nhưng lại ngon cực.
Item/Simple_Battery;Text;;Simple Battery@Used to power electrical machines.;Pin@Dùng cho thiết bị điện.
Item/Spear_Scrap;Text;;Metal Spear@An even greater device for poking things.;Giáo Sắt@Cứng và nhọn hơn giáo gỗ.
Item/Spear_Wood;Text;;Wooden spear@A great device for poking things.;Giáo gỗ@Dùng để đâm chọc một vài thứ.
Item/SpicyPineberry;Text;;Spicy pineberry@Makes you swim faster.;Dứa-Dâu cay xè@Tăng tốc độ bơi cho bạn một chút.
Item/SteakWithJam;Text;;Steak with jam@A straight forward meal.;Bít tết phết mứt@Một món ăn ngon.
Item/Stone;Text;;Stone@Heavy...;Đá@Nặng vl...
Item/Strawberry;Text;;Strawberry@A great source for vitamin C.;Dâu tây@Bổ sung Vitamin C.
Item/StrawberryColada;Text;;Strawberry colada@Taste like a relaxing day on the beach.;Sinh tố Dâu@Hương vị ngọt ngào, mùi hương quyến rũ.
Item/Sushi;Text;;Sushi@Where did the rice come from?;Sushi@Món này ngon lắm.
Item/SweepNet;Text;;Sweep net@Useful for catching bugs.;Vợt lưới@Dùng để bắt côn trùng, bọ...
Item/Sword_Titanium;Text;;Titanium sword@The gratest device for poking and cutting things.;Kiếm Titan@Sắc bén, chém tất thảy mọi thứ.
Item/Thatch;Text;;Palm Leaf@Could be useful, maybe for making ropes?;Lá cọ@Có thể hữu ích. Dùng làm dây thừng?
Item/Titanium;Text;;Titanium@;Titanium@
Item/TitaniumIngot;Text;;Titanium ingot@It's sooo heavy.;Thỏi Titan@Ôi nặng vl.
Item/TitaniumOre;Text;;Titanium ore@Can be smelted into titanium ingot.;Quặng Titan@Nung chảy để lấy thỏi titan.
Item/TitaniumTools;Text;;Titanium tools@;Công cụ Titan@
Item/TradeToken;Text;;Trade coin@Used as currency at the trading post.;Xu giao dịch@Dùng để mua đồ ở trạm giao dịch.
Item/TrapSnapper;Text;;Trap Snapper@Tier 2. A toe might go missing if you're not careful.;Cá hồng đột biến@Cấp 2. Cẩn thận mất ngón chân.
Item/TrashCube;Text;;Trash cube@Used as currency at the trading post.;Rác cục@Dùng để mua đồ ở trạm giao dịch.
Item/TrophyBoard_Large;Text;;Large trophy board@You can place your catch on this!;Bảng cúp lớn@Dùng để trang trí.
Item/TrophyBoard_Medium;Text;;Medium trophy board@You can place your catch on this!;Bảng cúp vừa@Dùng để trang trí.
Item/TrophyBoard_Small;Text;;Small trophy board@You can place your catch on this!;Bảng cúp nhỏ@Dùng để trang trí.
Item/Turmeric;Text;;Turmeric@Spice up your food.;Nghệ@Thêm gia vị cho món ăn.
Item/VegetableSoup;Text;;Vegetable soup@A mixture of vegetables to keep you warm.;Súp rau củ@Một hỗn hợp các loại rau củ.
Item/VineGoo;Text;;Vine goo@A bit like glue.;Keo rong biển@Trông như keo ấy.
Item/Watermelon;Text;;Watermelon@Quenches thirst and soothes hunger.;Dưa hấu@Xoa dịu cơn đói khát.
Item/Wool;Text;;Wool@Wow... it's sooo soft.;Lông@Wow... mềm vãiiiii.
Item/ZiplineTool;Text;;Zipline tool@Equipping it allows you to ride on ziplines.;Zipline@Trang bị nó và bạn có thể ĐI ĐU ĐƯA ĐI!
Item/ZiplineToolElectric;Text;;Electric zipline tool@Equipping it allows you to ride up or down on ziplines.;Zipline điện@Trang bị nó và bạn có thể đu lên hoặc xuống!
LoadMenu/Load;Text;;Loading...;Đang vào game...
LoadMenu/LoadingAssets;Text;;Loading assets;Đang tải nội dung
LoadMenu/LoadingMenu;Text;;Leaving world;Đang thoát ra
LoadMenu/LoadingWorld;Text;;Loading world;Đang tham gia
LoadMenu/Tip0;Text;;Make sure to anchor your raft before exploring an island!;Việt hoá bởi Hoàng Thông a.k.a Alvin~
